;index;Produktvariante;Prozessschritt;Auftragsnummer;Prozessbeschreibung;Prozessnummer;Startdatum;Startzeit;Enddatum;Endzeit;Arbeitsstation;Transportzeit;werkstueckID
244;244;8011;50;1333;pressing for time in seconds;110;12.05.2021;11:42:31;12.05.2021;11:42:36;7;14;47
245;245;8011;60;1333;store a part from stopper 2;211;12.05.2021;11:44:43;12.05.2021;11:44:55;5;1126;47
246;246;8011;10;1333;release a defined part on stopper 1;212;12.05.2021;11:28:38;12.05.2021;11:28:52;5;0;48
247;247;8011;20;1333;feed part from magazin;200;12.05.2021;11:29:18;12.05.2021;11:29:21;11;27;48
248;248;8011;30;1333;assemble a PCB with fuse left and right ;304;12.05.2021;11:47:23;12.05.2021;11:49:14;8;6;48
249;249;8011;40;1333;feed part from magazin;200;12.05.2021;11:49:55;12.05.2021;11:49:58;6;63;48
250;250;8011;50;1333;pressing for time in seconds;110;12.05.2021;11:50:15;12.05.2021;11:50:17;7;14;48
251;251;8011;60;1333;store a part from stopper 2;211;12.05.2021;11:51:41;12.05.2021;11:51:53;5;1126;48
252;252;8011;10;1333;release a defined part on stopper 1;212;12.05.2021;11:30:50;12.05.2021;11:31:03;5;0;error
253;253;8011;20;1333;feed part from magazin;200;12.05.2021;11:31:31;12.05.2021;11:31:33;11;27;error
254;254;8011;30;1333;assemble a PCB with fuse left and right ;304;12.05.2021;11:51:14;12.05.2021;11:53:05;8;6;error
255;255;8011;40;1333;feed part from magazin;200;12.05.2021;11:53:48;12.05.2021;11:53:50;6;63;error
256;256;8111;30;1334;assembly part with defined PCB;300;12.05.2021;12:05:31;12.05.2021;12:07:10;8;6;error
257;257;8111;40;1334;feed part from magazin;200;12.05.2021;12:07:57;12.05.2021;12:08:00;6;63;error
258;258;8111;50;1334;pressing for time in seconds;110;12.05.2021;12:08:15;12.05.2021;12:08:17;7;14;error
259;259;8111;60;1334;store a part from stopper 2;211;12.05.2021;12:10:49;12.05.2021;12:11:00;5;1126;error
260;260;8111;10;1334;release a defined part on stopper 1;212;12.05.2021;11:56:09;12.05.2021;11:56:23;5;0;51
261;261;8111;20;1334;feed part from magazin;200;12.05.2021;11:56:50;12.05.2021;11:56:52;11;27;51
262;262;8111;30;1334;assembly part with defined PCB;300;12.05.2021;12:02:12;12.05.2021;12:03:52;8;6;51
263;263;8111;40;1334;feed part from magazin;200;12.05.2021;12:04:33;12.05.2021;12:04:36;6;63;51
264;264;8111;50;1334;pressing for time in seconds;110;12.05.2021;12:04:53;12.05.2021;12:04:56;7;14;51
265;265;8111;60;1334;store a part from stopper 2;211;12.05.2021;12:06:46;12.05.2021;12:06:58;5;1126;51
266;266;8111;10;1334;release a defined part on stopper 1;212;12.05.2021;11:57:57;12.05.2021;11:58:10;5;0;52
267;267;8111;20;1334;feed part from magazin;200;12.05.2021;11:58:37;12.05.2021;11:58:39;11;27;52
268;268;8111;30;1334;assembly part with defined PCB;300;12.05.2021;12:13:02;12.05.2021;12:14:41;8;6;52
269;269;8111;40;1334;feed part from magazin;200;12.05.2021;12:15:51;12.05.2021;12:15:53;6;63;52
270;270;8111;50;1334;pressing for time in seconds;110;12.05.2021;12:16:08;12.05.2021;12:16:10;7;14;52
271;271;8111;60;1334;store a part from stopper 2;211;12.05.2021;12:18:08;12.05.2021;12:18:20;5;1126;52
272;272;8110;20;1334;feed part from magazin;200;12.05.2021;11:51:01;12.05.2021;11:51:03;11;27;error
273;273;8110;30;1334;assembly part with defined PCB;300;12.05.2021;11:53:32;12.05.2021;11:55:02;8;6;error
274;274;8110;40;1334;feed part from magazin;200;12.05.2021;11:55:58;12.05.2021;11:56:00;6;63;error
275;275;8110;50;1334;pressing for time in seconds;110;12.05.2021;11:56:23;12.05.2021;11:56:25;7;14;error
276;276;8110;60;1334;store a part from stopper 2;211;12.05.2021;11:58:24;12.05.2021;11:58:36;5;1126;error
277;277;8110;10;1334;release a defined part on stopper 1;212;12.05.2021;11:50:42;12.05.2021;11:50:55;5;0;54
278;278;8110;20;1334;feed part from magazin;200;12.05.2021;11:51:22;12.05.2021;11:51:24;11;27;54
279;279;8110;30;1334;assembly part with defined PCB;300;12.05.2021;11:55:07;12.05.2021;11:56:43;8;6;54
280;280;8110;40;1334;feed part from magazin;200;12.05.2021;11:57:40;12.05.2021;11:57:42;6;63;54
281;281;8110;50;1334;pressing for time in seconds;110;12.05.2021;11:58:00;12.05.2021;11:58:07;7;14;54
282;282;8110;60;1334;store a part from stopper 2;211;12.05.2021;11:59:48;12.05.2021;11:59:59;5;1126;54
283;283;8110;10;1334;release a defined part on stopper 1;212;12.05.2021;11:52:04;12.05.2021;11:52:16;5;0;55
284;284;8110;20;1334;feed part from magazin;200;12.05.2021;11:52:43;12.05.2021;11:52:45;11;27;55
285;285;8110;30;1334;assembly part with defined PCB;300;12.05.2021;11:56:47;12.05.2021;11:58:18;8;6;55
286;286;8110;40;1334;feed part from magazin;200;12.05.2021;11:59:13;12.05.2021;11:59:15;6;63;55
287;287;8110;50;1334;pressing for time in seconds;110;12.05.2021;11:59:35;12.05.2021;11:59:37;7;14;55
288;288;8110;60;1334;store a part from stopper 2;211;12.05.2021;12:01:20;12.05.2021;12:01:32;5;1126;55
289;289;8110;10;1334;release a defined part on stopper 1;212;12.05.2021;11:52:20;12.05.2021;11:52:33;5;0;56
290;290;8110;20;1334;feed part from magazin;200;12.05.2021;11:53:00;12.05.2021;11:53:02;11;27;56
291;291;8110;30;1334;assembly part with defined PCB;300;12.05.2021;12:07:17;12.05.2021;12:08:47;8;6;56
292;292;8110;40;1334;feed part from magazin;200;12.05.2021;12:09:37;12.05.2021;12:09:40;6;63;56
293;293;8110;50;1334;pressing for time in seconds;110;12.05.2021;12:09:53;12.05.2021;12:09:55;7;14;56
294;294;8110;60;1334;store a part from stopper 2;211;12.05.2021;12:12:14;12.05.2021;12:12:26;5;1126;56
295;295;8110;10;1334;release a defined part on stopper 1;212;12.05.2021;11:52:37;12.05.2021;11:52:50;5;0;error
296;296;8110;20;1334;feed part from magazin;200;12.05.2021;11:53:17;12.05.2021;11:53:20;11;27;error
297;297;8110;30;1334;assembly part with defined PCB;300;12.05.2021;12:03:56;12.05.2021;12:05:26;8;6;error
298;298;8110;40;1334;feed part from magazin;200;12.05.2021;12:06:48;12.05.2021;12:06:50;6;63;error
299;299;8110;50;1334;pressing for time in seconds;110;12.05.2021;12:07:03;12.05.2021;12:07:06;7;14;error
300;300;8010;10;1335;release a defined part on stopper 1;212;12.05.2021;12:07:17;12.05.2021;12:07:31;5;0;58
301;301;8010;20;1335;feed part from magazin;200;12.05.2021;12:07:58;12.05.2021;12:08:00;11;27;58
302;302;8010;30;1335;assemble a PCB with one fuse left;302;12.05.2021;12:16:08;12.05.2021;12:18:21;8;6;58
303;303;8010;40;1335;feed part from magazin;200;12.05.2021;12:19:22;12.05.2021;12:19:24;6;63;58
304;304;8010;50;1335;pressing for time in seconds;110;12.05.2021;12:19:37;12.05.2021;12:19:39;7;14;58
305;305;8010;60;1335;store a part from stopper 2;211;12.05.2021;12:21:54;12.05.2021;12:22:06;5;1126;58
306;306;8010;10;1335;release a defined part on stopper 1;212;12.05.2021;12:07:35;12.05.2021;12:07:47;5;0;59
307;307;8010;20;1335;feed part from magazin;200;12.05.2021;12:08:15;12.05.2021;12:08:17;11;27;59
308;308;8010;30;1335;assemble a PCB with one fuse left;302;12.05.2021;12:18:25;12.05.2021;12:20:08;8;6;59
309;309;8010;40;1335;feed part from magazin;200;12.05.2021;12:21:12;12.05.2021;12:21:15;6;63;59
310;310;8010;50;1335;pressing for time in seconds;110;12.05.2021;12:21:35;12.05.2021;12:21:37;7;14;59
311;311;8010;60;1335;store a part from stopper 2;211;12.05.2021;12:23:25;12.05.2021;12:23:37;5;1126;59
312;312;8010;10;1335;release a defined part on stopper 1;212;12.05.2021;12:08:28;12.05.2021;12:08:40;5;0;60
313;313;8010;20;1335;feed part from magazin;200;12.05.2021;12:09:07;12.05.2021;12:09:09;11;27;60
314;314;8010;30;1335;assemble a PCB with one fuse left;302;12.05.2021;12:25:47;12.05.2021;12:27:30;8;6;60
315;315;8010;40;1335;feed part from magazin;200;12.05.2021;12:28:33;12.05.2021;12:28:35;6;63;60
316;316;8010;50;1335;pressing for time in seconds;110;12.05.2021;12:28:54;12.05.2021;12:28:59;7;14;60
317;317;8010;60;1335;store a part from stopper 2;211;12.05.2021;12:30:42;12.05.2021;12:30:55;5;1126;60
318;318;8010;10;1335;release a defined part on stopper 1;212;12.05.2021;12:08:54;12.05.2021;12:09:08;5;0;61
319;319;8010;20;1335;feed part from magazin;200;12.05.2021;12:09:34;12.05.2021;12:09:36;11;27;61
320;320;8010;30;1335;assemble a PCB with one fuse left;302;12.05.2021;12:20:12;12.05.2021;12:21:56;8;6;61
321;321;8010;40;1335;feed part from magazin;200;12.05.2021;12:22:43;12.05.2021;12:22:46;6;63;61
322;322;8010;50;1335;pressing for time in seconds;110;12.05.2021;12:23:00;12.05.2021;12:23:02;7;14;61
323;323;8010;60;1335;store a part from stopper 2;211;12.05.2021;12:24:48;12.05.2021;12:25:00;5;1126;61
324;324;8010;10;1335;release a defined part on stopper 1;212;12.05.2021;12:09:56;12.05.2021;12:10:10;5;0;62
325;325;8010;20;1335;feed part from magazin;200;12.05.2021;12:10:36;12.05.2021;12:10:38;11;27;62
326;326;8010;30;1335;assemble a PCB with one fuse left;302;12.05.2021;12:34:18;12.05.2021;12:36:01;8;6;62
327;327;8010;40;1335;feed part from magazin;200;12.05.2021;12:37:20;12.05.2021;12:37:23;6;63;62
328;328;8010;50;1335;pressing for time in seconds;110;12.05.2021;12:37:36;12.05.2021;12:37:38;7;14;62
329;329;8010;60;1335;store a part from stopper 2;211;12.05.2021;12:39:53;12.05.2021;12:40:05;5;1126;62
330;330;8110;10;1335;release a defined part on stopper 1;212;12.05.2021;12:10:20;12.05.2021;12:10:33;5;0;63
331;331;8110;20;1335;feed part from magazin;200;12.05.2021;12:11:00;12.05.2021;12:11:02;11;27;63
332;332;8110;30;1335;assembly part with defined PCB;300;12.05.2021;12:31:14;12.05.2021;12:32:45;8;6;63
333;333;8110;40;1335;feed part from magazin;200;12.05.2021;12:33:30;12.05.2021;12:33:32;6;63;63
334;334;8110;50;1335;pressing for time in seconds;110;12.05.2021;12:33:45;12.05.2021;12:33:48;7;14;63
335;335;8110;60;1335;store a part from stopper 2;211;12.05.2021;12:35:24;12.05.2021;12:35:36;5;1126;63
336;336;8110;10;1335;release a defined part on stopper 1;212;12.05.2021;12:11:01;12.05.2021;12:11:15;5;0;64
337;337;8110;20;1335;feed part from magazin;200;12.05.2021;12:11:41;12.05.2021;12:11:44;11;27;64
338;338;8110;30;1335;assembly part with defined PCB;300;12.05.2021;12:28:04;12.05.2021;12:29:34;8;6;64
339;339;8110;40;1335;feed part from magazin;200;12.05.2021;12:30:20;12.05.2021;12:30:22;6;63;64
340;340;8110;50;1335;pressing for time in seconds;110;12.05.2021;12:30:40;12.05.2021;12:30:50;7;14;64
341;341;8110;60;1335;store a part from stopper 2;211;12.05.2021;12:32:50;12.05.2021;12:33:03;5;1126;64
342;342;8110;10;1335;release a defined part on stopper 1;212;12.05.2021;12:12:33;12.05.2021;12:12:48;5;0;65
343;343;8110;20;1335;feed part from magazin;200;12.05.2021;12:13:14;12.05.2021;12:13:16;11;27;65
344;344;8110;30;1335;assembly part with defined PCB;300;12.05.2021;12:23:38;12.05.2021;12:25:08;8;6;65
345;345;8110;40;1335;feed part from magazin;200;12.05.2021;12:26:01;12.05.2021;12:26:03;6;63;65
346;346;8110;50;1335;pressing for time in seconds;110;12.05.2021;12:26:16;12.05.2021;12:26:19;7;14;65
347;347;8110;60;1335;store a part from stopper 2;211;12.05.2021;12:28:05;12.05.2021;12:28:17;5;1126;65
348;348;8110;10;1335;release a defined part on stopper 1;212;12.05.2021;12:14:12;12.05.2021;12:14:26;5;0;66
349;349;8110;20;1335;feed part from magazin;200;12.05.2021;12:14:53;12.05.2021;12:14:55;11;27;66
350;350;8110;30;1335;assembly part with defined PCB;300;12.05.2021;12:36:06;12.05.2021;12:37:42;8;6;66
351;351;8110;40;1335;feed part from magazin;200;12.05.2021;12:38:53;12.05.2021;12:38:56;6;63;66
352;352;8110;50;1335;pressing for time in seconds;110;12.05.2021;12:39:15;12.05.2021;12:39:17;7;14;66
353;353;8110;60;1335;store a part from stopper 2;211;12.05.2021;12:40:51;12.05.2021;12:41:02;5;1126;66
354;354;8110;10;1335;release a defined part on stopper 1;212;12.05.2021;12:20:48;12.05.2021;12:21:03;5;0;67
355;355;8110;20;1335;feed part from magazin;200;12.05.2021;12:22:00;12.05.2021;12:22:02;11;27;67
356;356;8110;30;1335;assembly part with defined PCB;300;12.05.2021;12:29:40;12.05.2021;12:31:10;8;6;67
357;357;8110;40;1335;feed part from magazin;200;12.05.2021;12:31:58;12.05.2021;12:32:00;6;63;67
358;358;8110;50;1335;pressing for time in seconds;110;12.05.2021;12:32:15;12.05.2021;12:32:18;7;14;67
359;359;8110;60;1335;store a part from stopper 2;211;12.05.2021;12:33:58;12.05.2021;12:34:11;5;1126;67
360;360;8011;10;1336;release a defined part on stopper 1;212;12.05.2021;12:35:39;12.05.2021;12:35:52;5;0;error
361;361;8011;50;1336;pressing for time in seconds;110;12.05.2021;13:02:02;12.05.2021;13:02:05;7;14;error
362;362;8011;60;1336;store a part from stopper 2;211;12.05.2021;13:03:28;12.05.2021;13:03:40;5;1126;error
363;363;8111;10;1336;release a defined part on stopper 1;212;12.05.2021;12:38:12;12.05.2021;12:38:28;5;0;70
364;364;8111;20;1336;feed part from magazin;200;12.05.2021;12:38:55;12.05.2021;12:38:57;11;27;70
365;365;8111;30;1336;assembly part with defined PCB;300;12.05.2021;12:49:07;12.05.2021;12:50:46;8;6;70
366;366;8111;40;1336;feed part from magazin;200;12.05.2021;12:51:48;12.05.2021;12:51:50;6;63;70
367;367;8111;50;1336;pressing for time in seconds;110;12.05.2021;12:52:06;12.05.2021;12:52:08;7;14;70
368;368;8111;60;1336;store a part from stopper 2;211;12.05.2021;12:53:49;12.05.2021;12:54:02;5;1126;70
369;369;8111;10;1336;release a defined part on stopper 1;212;12.05.2021;12:38:32;12.05.2021;12:38:47;5;0;71
370;370;8111;20;1336;feed part from magazin;200;12.05.2021;12:39:14;12.05.2021;12:39:16;11;27;71
371;371;8111;30;1336;assembly part with defined PCB;300;12.05.2021;12:57:11;12.05.2021;12:58:49;8;6;71
372;372;8111;40;1336;feed part from magazin;200;12.05.2021;13:00:38;12.05.2021;13:00:40;6;63;71
373;373;8111;50;1336;pressing for time in seconds;110;12.05.2021;13:00:54;12.05.2021;13:00:56;7;14;71
374;374;8111;60;1336;store a part from stopper 2;211;12.05.2021;13:03:01;12.05.2021;13:03:12;5;1126;71
375;375;8111;10;1336;release a defined part on stopper 1;212;12.05.2021;12:38:51;12.05.2021;12:39:06;5;0;error
376;376;8111;20;1336;feed part from magazin;200;12.05.2021;12:39:33;12.05.2021;12:39:35;11;27;error
377;377;8111;30;1336;assembly part with defined PCB;300;12.05.2021;12:47:24;12.05.2021;12:49:03;8;6;error
378;378;8111;40;1336;feed part from magazin;200;12.05.2021;12:50:07;12.05.2021;12:50:09;6;63;error
379;379;8011;10;1336;release a defined part on stopper 1;212;12.05.2021;12:37:37;12.05.2021;12:37:51;5;0;73
380;380;8011;20;1336;feed part from magazin;200;12.05.2021;12:38:18;12.05.2021;12:38:20;11;27;73
381;381;8011;30;1336;assemble a PCB with fuse left and right ;304;12.05.2021;12:52:34;12.05.2021;12:54:25;8;6;73
382;382;8011;40;1336;feed part from magazin;200;12.05.2021;12:55:11;12.05.2021;12:55:13;6;63;73
383;383;8011;50;1336;pressing for time in seconds;110;12.05.2021;12:55:27;12.05.2021;12:55:29;7;14;73
384;384;8011;60;1336;store a part from stopper 2;211;12.05.2021;12:57:04;12.05.2021;12:57:18;5;1126;73
385;385;8011;10;1336;release a defined part on stopper 1;212;12.05.2021;12:37:54;12.05.2021;12:38:09;5;0;error
386;386;8011;20;1336;feed part from magazin;200;12.05.2021;12:38:35;12.05.2021;12:38:37;11;27;error
387;387;8011;30;1336;assemble a PCB with fuse left and right ;304;12.05.2021;12:58:54;12.05.2021;13:00:45;8;6;error
388;388;8011;40;1336;feed part from magazin;200;12.05.2021;13:01:47;12.05.2021;13:01:49;6;63;error
389;389;8111;60;1336;store a part from stopper 2;211;12.05.2021;12:55:09;12.05.2021;12:55:22;5;1126;error
390;390;8010;10;1337;release a defined part on stopper 1;212;12.05.2021;12:58:44;12.05.2021;12:58:59;5;0;76
391;391;8010;20;1337;feed part from magazin;200;12.05.2021;12:59:24;12.05.2021;12:59:26;11;27;76
392;392;8010;30;1337;assemble a PCB with one fuse left;302;12.05.2021;13:01:38;12.05.2021;13:03:48;8;6;76
393;393;8010;40;1337;feed part from magazin;200;12.05.2021;13:04:34;12.05.2021;13:04:37;6;63;76
394;394;8010;50;1337;pressing for time in seconds;110;12.05.2021;13:04:50;12.05.2021;13:04:52;7;14;76
395;395;8010;60;1337;store a part from stopper 2;211;12.05.2021;13:07:00;12.05.2021;13:07:12;5;1126;76
396;396;8010;10;1337;release a defined part on stopper 1;212;12.05.2021;12:59:02;12.05.2021;12:59:14;5;0;77
397;397;8010;20;1337;feed part from magazin;200;12.05.2021;12:59:41;12.05.2021;12:59:43;11;27;77
398;398;8010;30;1337;assemble a PCB with one fuse left;302;12.05.2021;13:03:53;12.05.2021;13:05:36;8;6;77
399;399;8010;40;1337;feed part from magazin;200;12.05.2021;13:06:35;12.05.2021;13:06:37;6;63;77
400;400;8010;50;1337;pressing for time in seconds;110;12.05.2021;13:06:50;12.05.2021;13:06:53;7;14;77
401;401;8010;60;1337;store a part from stopper 2;211;12.05.2021;13:08:27;12.05.2021;13:08:39;5;1126;77
402;402;8010;10;1337;release a defined part on stopper 1;212;12.05.2021;12:59:24;12.05.2021;12:59:36;5;0;78
403;403;8010;20;1337;feed part from magazin;200;12.05.2021;13:00:03;12.05.2021;13:00:05;11;27;78
404;404;8010;30;1337;assemble a PCB with one fuse left;302;12.05.2021;13:06:20;12.05.2021;13:08:03;8;6;78
405;405;8010;40;1337;feed part from magazin;200;12.05.2021;13:08:57;12.05.2021;13:08:59;6;63;78
406;406;8010;50;1337;pressing for time in seconds;110;12.05.2021;13:09:18;12.05.2021;13:09:20;7;14;78
407;407;8010;60;1337;store a part from stopper 2;211;12.05.2021;13:10:39;12.05.2021;13:10:52;5;1126;78
408;408;8010;10;1337;release a defined part on stopper 1;212;12.05.2021;13:00:55;12.05.2021;13:01:09;5;0;error
409;409;8011;10;1338;release a defined part on stopper 1;212;12.05.2021;13:18:22;12.05.2021;13:18:36;5;0;80
410;410;8011;20;1338;feed part from magazin;200;12.05.2021;13:19:02;12.05.2021;13:19:05;11;27;80
411;411;8011;30;1338;assemble a PCB with fuse left and right ;304;12.05.2021;13:26:17;12.05.2021;13:28:10;8;6;80
412;412;8011;40;1338;feed part from magazin;200;12.05.2021;13:29:02;12.05.2021;13:29:05;6;63;80
413;413;8011;50;1338;pressing for time in seconds;110;12.05.2021;13:29:18;12.05.2021;13:29:20;7;14;80
414;414;8011;60;1338;store a part from stopper 2;211;12.05.2021;13:30:44;12.05.2021;13:30:57;5;1126;80
415;415;8011;10;1338;release a defined part on stopper 1;212;12.05.2021;13:18:47;12.05.2021;13:19:00;5;0;81
416;416;8011;20;1338;feed part from magazin;200;12.05.2021;13:19:27;12.05.2021;13:19:29;11;27;81
417;417;8011;30;1338;assemble a PCB with fuse left and right ;304;12.05.2021;13:29:51;12.05.2021;13:31:43;8;6;81
418;418;8011;40;1338;feed part from magazin;200;12.05.2021;13:32:34;12.05.2021;13:32:37;6;63;81
419;419;8011;50;1338;pressing for time in seconds;110;12.05.2021;13:32:59;12.05.2021;13:33:01;7;14;81
420;420;8011;60;1338;store a part from stopper 2;211;12.05.2021;13:34:36;12.05.2021;13:34:49;5;1126;81
421;421;8110;10;1338;release a defined part on stopper 1;212;12.05.2021;13:19:28;12.05.2021;13:19:42;5;0;82
422;422;8110;20;1338;feed part from magazin;200;12.05.2021;13:20:09;12.05.2021;13:20:11;11;27;82
423;423;8110;30;1338;assembly part with defined PCB;300;12.05.2021;13:37:35;12.05.2021;13:39:06;8;6;82
424;424;8110;40;1338;feed part from magazin;200;12.05.2021;13:39:58;12.05.2021;13:40:00;6;63;82
425;425;8110;50;1338;pressing for time in seconds;110;12.05.2021;13:40:15;12.05.2021;13:40:17;7;14;82
426;426;8110;60;1338;store a part from stopper 2;211;12.05.2021;13:42:01;12.05.2021;13:42:13;5;1126;82
427;427;8110;10;1338;release a defined part on stopper 1;212;12.05.2021;13:21:22;12.05.2021;13:21:37;5;0;83
428;428;8110;20;1338;feed part from magazin;200;12.05.2021;13:22:03;12.05.2021;13:22:06;11;27;83
429;429;8110;30;1338;assembly part with defined PCB;300;12.05.2021;13:28:16;12.05.2021;13:29:46;8;6;83
430;430;8110;40;1338;feed part from magazin;200;12.05.2021;13:30:32;12.05.2021;13:30:34;6;63;83
431;431;8110;50;1338;pressing for time in seconds;110;12.05.2021;13:30:47;12.05.2021;13:30:49;7;14;83
432;432;8110;60;1338;store a part from stopper 2;211;12.05.2021;13:32:43;12.05.2021;13:32:56;5;1126;83
433;433;8110;10;1338;release a defined part on stopper 1;212;12.05.2021;13:23:32;12.05.2021;13:23:46;5;0;84
434;434;8110;20;1338;feed part from magazin;200;12.05.2021;13:24:13;12.05.2021;13:24:15;11;27;84
435;435;8110;30;1338;assembly part with defined PCB;300;12.05.2021;13:34:09;12.05.2021;13:35:40;8;6;84
436;436;8110;40;1338;feed part from magazin;200;12.05.2021;13:36:27;12.05.2021;13:36:29;6;63;84
437;437;8110;50;1338;pressing for time in seconds;110;12.05.2021;13:36:45;12.05.2021;13:36:47;7;14;84
438;438;8110;60;1338;store a part from stopper 2;211;12.05.2021;13:38:16;12.05.2021;13:38:28;5;1126;84
439;439;8110;10;1338;release a defined part on stopper 1;212;12.05.2021;13:24:19;12.05.2021;13:24:31;5;0;85
440;440;8110;20;1338;feed part from magazin;200;12.05.2021;13:24:58;12.05.2021;13:25:01;11;27;85
441;441;8110;30;1338;assembly part with defined PCB;300;12.05.2021;13:35:45;12.05.2021;13:37:15;8;6;85
442;442;8110;40;1338;feed part from magazin;200;12.05.2021;13:38:30;12.05.2021;13:38:33;6;63;85
443;443;8110;50;1338;pressing for time in seconds;110;12.05.2021;13:38:48;12.05.2021;13:38:50;7;14;85
444;444;8110;60;1338;store a part from stopper 2;211;12.05.2021;13:40:37;12.05.2021;13:40:48;5;1126;85
445;445;8110;10;1338;release a defined part on stopper 1;212;12.05.2021;13:27:26;12.05.2021;13:27:38;5;0;error
446;446;8110;20;1338;feed part from magazin;200;12.05.2021;13:28:05;12.05.2021;13:28:07;11;27;error
447;447;8110;30;1338;assembly part with defined PCB;300;12.05.2021;13:39:10;12.05.2021;13:40:41;8;6;error
448;448;8110;40;1338;feed part from magazin;200;12.05.2021;13:41:26;12.05.2021;13:41:28;6;63;error
449;449;8010;10;1339;release a defined part on stopper 1;212;12.05.2021;13:37:16;12.05.2021;13:37:30;5;0;87
450;450;8010;20;1339;feed part from magazin;200;12.05.2021;13:37:57;12.05.2021;13:37:59;11;27;87
451;451;8010;30;1339;assemble a PCB with one fuse left;302;12.05.2021;13:40:46;12.05.2021;13:42:54;8;6;87
452;452;8010;40;1339;feed part from magazin;200;12.05.2021;13:43:46;12.05.2021;13:43:48;6;63;87
453;453;8010;50;1339;pressing for time in seconds;110;12.05.2021;13:44:07;12.05.2021;13:44:10;7;14;87
454;454;8010;60;1339;store a part from stopper 2;211;12.05.2021;13:45:40;12.05.2021;13:45:52;5;1126;87
455;455;8010;10;1339;release a defined part on stopper 1;212;12.05.2021;13:38:41;12.05.2021;13:38:53;5;0;88
456;456;8010;20;1339;feed part from magazin;200;12.05.2021;13:39:20;12.05.2021;13:39:22;11;27;88
457;457;8010;30;1339;assemble a PCB with one fuse left;302;12.05.2021;13:42:59;12.05.2021;13:45:36;8;6;88
458;458;8010;40;1339;feed part from magazin;200;12.05.2021;13:46:21;12.05.2021;13:46:23;6;63;88
459;459;8010;50;1339;pressing for time in seconds;110;12.05.2021;13:46:38;12.05.2021;13:46:40;7;14;88
460;460;8010;60;1339;store a part from stopper 2;211;12.05.2021;13:48:27;12.05.2021;13:48:40;5;1126;88
461;461;8011;10;1339;release a defined part on stopper 1;212;12.05.2021;13:38:57;12.05.2021;13:39:08;5;0;89
462;462;8011;20;1339;feed part from magazin;200;12.05.2021;13:39:35;12.05.2021;13:39:37;11;27;89
463;463;8011;30;1339;assemble a PCB with fuse left and right ;304;12.05.2021;13:45:41;12.05.2021;13:47:32;8;6;89
464;464;8011;40;1339;feed part from magazin;200;12.05.2021;13:48:23;12.05.2021;13:48:25;6;63;89
465;465;8011;50;1339;pressing for time in seconds;110;12.05.2021;13:48:45;12.05.2021;13:48:47;7;14;89
466;466;8011;60;1339;store a part from stopper 2;211;12.05.2021;13:50:34;12.05.2021;13:50:46;5;1126;89
467;467;8011;10;1339;release a defined part on stopper 1;212;12.05.2021;13:39:12;12.05.2021;13:39:25;5;0;error
468;468;8011;20;1339;feed part from magazin;200;12.05.2021;13:39:52;12.05.2021;13:39:54;11;27;error
469;469;8111;50;1336;pressing for time in seconds;110;12.05.2021;12:50:30;12.05.2021;12:50:34;7;14;error
470;470;8111;60;1336;store a part from stopper 2;211;12.05.2021;12:52:20;12.05.2021;12:52:33;5;1126;error
471;471;8111;10;1336;release a defined part on stopper 1;212;12.05.2021;12:41:38;12.05.2021;12:41:54;5;0;92
472;472;8111;20;1336;feed part from magazin;200;12.05.2021;12:42:21;12.05.2021;12:42:23;11;27;92
473;473;8111;30;1336;assembly part with defined PCB;300;12.05.2021;12:54:57;12.05.2021;12:57:07;8;6;92
474;474;8111;40;1336;feed part from magazin;200;12.05.2021;12:57:56;12.05.2021;12:57:59;6;63;92
475;475;8111;50;1336;pressing for time in seconds;110;12.05.2021;12:58:16;12.05.2021;12:58:18;7;14;92
476;476;8111;60;1336;store a part from stopper 2;211;12.05.2021;13:00:00;12.05.2021;13:00:13;5;1126;92
477;477;8111;10;1336;release a defined part on stopper 1;212;12.05.2021;12:42:48;12.05.2021;12:43:01;5;0;error
478;478;8111;20;1336;feed part from magazin;200;12.05.2021;12:43:28;12.05.2021;12:43:30;11;27;error
479;479;8111;30;1336;assembly part with defined PCB;300;12.05.2021;12:50:51;12.05.2021;12:52:30;8;6;error
480;480;8111;40;1336;feed part from magazin;200;12.05.2021;12:53:11;12.05.2021;12:53:13;6;63;error
481;481;8111;50;1336;pressing for time in seconds;110;12.05.2021;12:53:27;12.05.2021;12:53:29;7;14;error
482;482;8011;20;1336;feed part from magazin;200;12.05.2021;12:36:19;12.05.2021;12:36:21;11;27;error
483;483;8011;30;1336;assemble a PCB with fuse left and right ;304;12.05.2021;12:38:24;12.05.2021;12:42:26;8;6;error
484;484;8011;40;1336;feed part from magazin;200;12.05.2021;12:43:25;12.05.2021;12:43:27;6;63;error
485;485;8011;50;1336;pressing for time in seconds;110;12.05.2021;12:43:46;12.05.2021;12:43:48;7;14;error
486;486;8011;60;1336;store a part from stopper 2;211;12.05.2021;12:45:29;12.05.2021;12:45:41;5;1126;error
487;487;8011;10;1336;release a defined part on stopper 1;212;12.05.2021;12:35:56;12.05.2021;12:36:07;5;0;95
488;488;8011;20;1336;feed part from magazin;200;12.05.2021;12:36:34;12.05.2021;12:36:37;11;27;95
489;489;8011;30;1336;assemble a PCB with fuse left and right ;304;12.05.2021;12:42:31;12.05.2021;12:44:22;8;6;95
490;490;8011;40;1336;feed part from magazin;200;12.05.2021;12:46:28;12.05.2021;12:46:31;6;63;95
