;index;Produktvariante;Prozessschritt;Auftragsnummer;Prozessbeschreibung;Prozessnummer;Startdatum;Startzeit;Enddatum;Endzeit;Arbeitsstation;Transportzeit;Start;Ende;werkstueckID
313;313;8010;20;1335;feed part from magazin;200;12.05.21;2022-09-22 12:09:07;12.05.21;12:09:09;11;27;2021-12-05 12:09:07;2021-12-05 12:09:09;53
320;320;8010;30;1335;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 12:20:12;12.05.21;12:21:56;8;6;2021-12-05 12:20:12;2021-12-05 12:21:56;53
321;321;8010;40;1335;feed part from magazin;200;12.05.21;2022-09-22 12:22:43;12.05.21;12:22:46;6;63;2021-12-05 12:22:43;2021-12-05 12:22:46;53
322;322;8010;50;1335;pressing for time in seconds;110;12.05.21;2022-09-22 12:23:00;12.05.21;12:23:02;7;14;2021-12-05 12:23:00;2021-12-05 12:23:02;53
323;323;8010;60;1335;store a part from stopper 2;211;12.05.21;2022-09-22 12:24:48;12.05.21;12:25:00;5;1126;2021-12-05 12:24:48;2021-12-05 12:25:00;53
318;318;8010;10;1335;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:08:54;12.05.21;12:09:08;5;0;2021-12-05 12:08:54;2021-12-05 12:09:08;54
319;319;8010;20;1335;feed part from magazin;200;12.05.21;2022-09-22 12:09:34;12.05.21;12:09:36;11;27;2021-12-05 12:09:34;2021-12-05 12:09:36;54
314;314;8010;30;1335;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 12:25:47;12.05.21;12:27:30;8;6;2021-12-05 12:25:47;2021-12-05 12:27:30;54
315;315;8010;40;1335;feed part from magazin;200;12.05.21;2022-09-22 12:28:33;12.05.21;12:28:35;6;63;2021-12-05 12:28:33;2021-12-05 12:28:35;54
316;316;8010;50;1335;pressing for time in seconds;110;12.05.21;2022-09-22 12:28:54;12.05.21;12:28:59;7;14;2021-12-05 12:28:54;2021-12-05 12:28:59;54
317;317;8010;60;1335;store a part from stopper 2;211;12.05.21;2022-09-22 12:30:42;12.05.21;12:30:55;5;1126;2021-12-05 12:30:42;2021-12-05 12:30:55;54
324;324;8010;10;1335;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:09:56;12.05.21;12:10:10;5;0;2021-12-05 12:09:56;2021-12-05 12:10:10;55
325;325;8010;20;1335;feed part from magazin;200;12.05.21;2022-09-22 12:10:36;12.05.21;12:10:38;11;27;2021-12-05 12:10:36;2021-12-05 12:10:38;55
326;326;8010;30;1335;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 12:34:18;12.05.21;12:36:01;8;6;2021-12-05 12:34:18;2021-12-05 12:36:01;55
327;327;8010;40;1335;feed part from magazin;200;12.05.21;2022-09-22 12:37:20;12.05.21;12:37:23;6;63;2021-12-05 12:37:20;2021-12-05 12:37:23;55
328;328;8010;50;1335;pressing for time in seconds;110;12.05.21;2022-09-22 12:37:36;12.05.21;12:37:38;7;14;2021-12-05 12:37:36;2021-12-05 12:37:38;55
329;329;8010;60;1335;store a part from stopper 2;211;12.05.21;2022-09-22 12:39:53;12.05.21;12:40:05;5;1126;2021-12-05 12:39:53;2021-12-05 12:40:05;55
330;330;8110;10;1335;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:10:20;12.05.21;12:10:33;5;0;2021-12-05 12:10:20;2021-12-05 12:10:33;56
331;331;8110;20;1335;feed part from magazin;200;12.05.21;2022-09-22 12:11:00;12.05.21;12:11:02;11;27;2021-12-05 12:11:00;2021-12-05 12:11:02;56
344;344;8110;30;1335;assembly part with defined PCB;300;12.05.21;2022-09-22 12:23:38;12.05.21;12:25:08;8;6;2021-12-05 12:23:38;2021-12-05 12:25:08;56
345;345;8110;40;1335;feed part from magazin;200;12.05.21;2022-09-22 12:26:01;12.05.21;12:26:03;6;63;2021-12-05 12:26:01;2021-12-05 12:26:03;56
346;346;8110;50;1335;pressing for time in seconds;110;12.05.21;2022-09-22 12:26:16;12.05.21;12:26:19;7;14;2021-12-05 12:26:16;2021-12-05 12:26:19;56
347;347;8110;60;1335;store a part from stopper 2;211;12.05.21;2022-09-22 12:28:05;12.05.21;12:28:17;5;1126;2021-12-05 12:28:05;2021-12-05 12:28:17;56
336;336;8110;10;1335;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:11:01;12.05.21;12:11:15;5;0;2021-12-05 12:11:01;2021-12-05 12:11:15;57
337;337;8110;20;1335;feed part from magazin;200;12.05.21;2022-09-22 12:11:41;12.05.21;12:11:44;11;27;2021-12-05 12:11:41;2021-12-05 12:11:44;57
338;338;8110;30;1335;assembly part with defined PCB;300;12.05.21;2022-09-22 12:28:04;12.05.21;12:29:34;8;6;2021-12-05 12:28:04;2021-12-05 12:29:34;57
339;339;8110;40;1335;feed part from magazin;200;12.05.21;2022-09-22 12:30:20;12.05.21;12:30:22;6;63;2021-12-05 12:30:20;2021-12-05 12:30:22;57
340;340;8110;50;1335;pressing for time in seconds;110;12.05.21;2022-09-22 12:30:40;12.05.21;12:30:50;7;14;2021-12-05 12:30:40;2021-12-05 12:30:50;57
341;341;8110;60;1335;store a part from stopper 2;211;12.05.21;2022-09-22 12:32:50;12.05.21;12:33:03;5;1126;2021-12-05 12:32:50;2021-12-05 12:33:03;57
342;342;8110;10;1335;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:12:33;12.05.21;12:12:48;5;0;2021-12-05 12:12:33;2021-12-05 12:12:48;58
343;343;8110;20;1335;feed part from magazin;200;12.05.21;2022-09-22 12:13:14;12.05.21;12:13:16;11;27;2021-12-05 12:13:14;2021-12-05 12:13:16;58
356;356;8110;30;1335;assembly part with defined PCB;300;12.05.21;2022-09-22 12:29:40;12.05.21;12:31:10;8;6;2021-12-05 12:29:40;2021-12-05 12:31:10;58
357;357;8110;40;1335;feed part from magazin;200;12.05.21;2022-09-22 12:31:58;12.05.21;12:32:00;6;63;2021-12-05 12:31:58;2021-12-05 12:32:00;58
358;358;8110;50;1335;pressing for time in seconds;110;12.05.21;2022-09-22 12:32:15;12.05.21;12:32:18;7;14;2021-12-05 12:32:15;2021-12-05 12:32:18;58
359;359;8110;60;1335;store a part from stopper 2;211;12.05.21;2022-09-22 12:33:58;12.05.21;12:34:11;5;1126;2021-12-05 12:33:58;2021-12-05 12:34:11;58
348;348;8110;10;1335;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:14:12;12.05.21;12:14:26;5;0;2021-12-05 12:14:12;2021-12-05 12:14:26;59
349;349;8110;20;1335;feed part from magazin;200;12.05.21;2022-09-22 12:14:53;12.05.21;12:14:55;11;27;2021-12-05 12:14:53;2021-12-05 12:14:55;59
332;332;8110;30;1335;assembly part with defined PCB;300;12.05.21;2022-09-22 12:31:14;12.05.21;12:32:45;8;6;2021-12-05 12:31:14;2021-12-05 12:32:45;59
333;333;8110;40;1335;feed part from magazin;200;12.05.21;2022-09-22 12:33:30;12.05.21;12:33:32;6;63;2021-12-05 12:33:30;2021-12-05 12:33:32;59
334;334;8110;50;1335;pressing for time in seconds;110;12.05.21;2022-09-22 12:33:45;12.05.21;12:33:48;7;14;2021-12-05 12:33:45;2021-12-05 12:33:48;59
335;335;8110;60;1335;store a part from stopper 2;211;12.05.21;2022-09-22 12:35:24;12.05.21;12:35:36;5;1126;2021-12-05 12:35:24;2021-12-05 12:35:36;59
354;354;8110;10;1335;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:20:48;12.05.21;12:21:03;5;0;2021-12-05 12:20:48;2021-12-05 12:21:03;60
355;355;8110;20;1335;feed part from magazin;200;12.05.21;2022-09-22 12:22:00;12.05.21;12:22:02;11;27;2021-12-05 12:22:00;2021-12-05 12:22:02;60
350;350;8110;30;1335;assembly part with defined PCB;300;12.05.21;2022-09-22 12:36:06;12.05.21;12:37:42;8;6;2021-12-05 12:36:06;2021-12-05 12:37:42;60
351;351;8110;40;1335;feed part from magazin;200;12.05.21;2022-09-22 12:38:53;12.05.21;12:38:56;6;63;2021-12-05 12:38:53;2021-12-05 12:38:56;60
352;352;8110;50;1335;pressing for time in seconds;110;12.05.21;2022-09-22 12:39:15;12.05.21;12:39:17;7;14;2021-12-05 12:39:15;2021-12-05 12:39:17;60
353;353;8110;60;1335;store a part from stopper 2;211;12.05.21;2022-09-22 12:40:51;12.05.21;12:41:02;5;1126;2021-12-05 12:40:51;2021-12-05 12:41:02;60
360;360;8011;10;1336;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:35:39;12.05.21;12:35:52;5;0;2021-12-05 12:35:39;2021-12-05 12:35:52;61
482;482;8011;20;1336;feed part from magazin;200;12.05.21;2022-09-22 12:36:19;12.05.21;12:36:21;11;27;2021-12-05 12:36:19;2021-12-05 12:36:21;61
483;483;8011;30;1336;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 12:38:24;12.05.21;12:42:26;8;6;2021-12-05 12:38:24;2021-12-05 12:42:26;61
484;484;8011;40;1336;feed part from magazin;200;12.05.21;2022-09-22 12:43:25;12.05.21;12:43:27;6;63;2021-12-05 12:43:25;2021-12-05 12:43:27;61
485;485;8011;50;1336;pressing for time in seconds;110;12.05.21;2022-09-22 12:43:46;12.05.21;12:43:48;7;14;2021-12-05 12:43:46;2021-12-05 12:43:48;61
486;486;8011;60;1336;store a part from stopper 2;211;12.05.21;2022-09-22 12:45:29;12.05.21;12:45:41;5;1126;2021-12-05 12:45:29;2021-12-05 12:45:41;61
487;487;8011;10;1336;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:35:56;12.05.21;12:36:07;5;0;2021-12-05 12:35:56;2021-12-05 12:36:07;62
488;488;8011;20;1336;feed part from magazin;200;12.05.21;2022-09-22 12:36:34;12.05.21;12:36:37;11;27;2021-12-05 12:36:34;2021-12-05 12:36:37;62
489;489;8011;30;1336;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 12:42:31;12.05.21;12:44:22;8;6;2021-12-05 12:42:31;2021-12-05 12:44:22;62
490;490;8011;40;1336;feed part from magazin;200;12.05.21;2022-09-22 12:46:28;12.05.21;12:46:31;6;63;2021-12-05 12:46:28;2021-12-05 12:46:31;62
491;491;8011;50;1336;pressing for time in seconds;110;12.05.21;2022-09-22 12:46:50;12.05.21;12:46:52;7;14;2021-12-05 12:46:50;2021-12-05 12:46:52;62
492;492;8011;60;1336;store a part from stopper 2;211;12.05.21;2022-09-22 12:48:37;12.05.21;12:48:49;5;1126;2021-12-05 12:48:37;2021-12-05 12:48:49;62
493;493;8011;10;1336;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:36:11;12.05.21;12:36:25;5;0;2021-12-05 12:36:11;2021-12-05 12:36:25;63
494;494;8011;20;1336;feed part from magazin;200;12.05.21;2022-09-22 12:36:51;12.05.21;12:36:53;11;27;2021-12-05 12:36:51;2021-12-05 12:36:53;63
495;495;8011;30;1336;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 12:45:29;12.05.21;12:47:20;8;6;2021-12-05 12:45:29;2021-12-05 12:47:20;63
496;496;8011;40;1336;feed part from magazin;200;12.05.21;2022-09-22 12:48:13;12.05.21;12:48:16;6;63;2021-12-05 12:48:13;2021-12-05 12:48:16;63
497;497;8011;50;1336;pressing for time in seconds;110;12.05.21;2022-09-22 12:48:35;12.05.21;12:48:38;7;14;2021-12-05 12:48:35;2021-12-05 12:48:38;63
498;498;8011;60;1336;store a part from stopper 2;211;12.05.21;2022-09-22 12:50:30;12.05.21;12:50:45;5;1126;2021-12-05 12:50:30;2021-12-05 12:50:45;63
379;379;8011;10;1336;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:37:37;12.05.21;12:37:51;5;0;2021-12-05 12:37:37;2021-12-05 12:37:51;64
380;380;8011;20;1336;feed part from magazin;200;12.05.21;2022-09-22 12:38:18;12.05.21;12:38:20;11;27;2021-12-05 12:38:18;2021-12-05 12:38:20;64
381;381;8011;30;1336;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 12:52:34;12.05.21;12:54:25;8;6;2021-12-05 12:52:34;2021-12-05 12:54:25;64
382;382;8011;40;1336;feed part from magazin;200;12.05.21;2022-09-22 12:55:11;12.05.21;12:55:13;6;63;2021-12-05 12:55:11;2021-12-05 12:55:13;64
383;383;8011;50;1336;pressing for time in seconds;110;12.05.21;2022-09-22 12:55:27;12.05.21;12:55:29;7;14;2021-12-05 12:55:27;2021-12-05 12:55:29;64
384;384;8011;60;1336;store a part from stopper 2;211;12.05.21;2022-09-22 12:57:04;12.05.21;12:57:18;5;1126;2021-12-05 12:57:04;2021-12-05 12:57:18;64
385;385;8011;10;1336;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:37:54;12.05.21;12:38:09;5;0;2021-12-05 12:37:54;2021-12-05 12:38:09;65
386;386;8011;20;1336;feed part from magazin;200;12.05.21;2022-09-22 12:38:35;12.05.21;12:38:37;11;27;2021-12-05 12:38:35;2021-12-05 12:38:37;65
387;387;8011;30;1336;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 12:58:54;12.05.21;13:00:45;8;6;2021-12-05 12:58:54;2021-12-05 13:00:45;65
388;388;8011;40;1336;feed part from magazin;200;12.05.21;2022-09-22 13:01:47;12.05.21;13:01:49;6;63;2021-12-05 13:01:47;2021-12-05 13:01:49;65
361;361;8011;50;1336;pressing for time in seconds;110;12.05.21;2022-09-22 13:02:02;12.05.21;13:02:05;7;14;2021-12-05 13:02:02;2021-12-05 13:02:05;65
362;362;8011;60;1336;store a part from stopper 2;211;12.05.21;2022-09-22 13:03:28;12.05.21;13:03:40;5;1126;2021-12-05 13:03:28;2021-12-05 13:03:40;65
363;363;8111;10;1336;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:38:12;12.05.21;12:38:28;5;0;2021-12-05 12:38:12;2021-12-05 12:38:28;66
364;364;8111;20;1336;feed part from magazin;200;12.05.21;2022-09-22 12:38:55;12.05.21;12:38:57;11;27;2021-12-05 12:38:55;2021-12-05 12:38:57;66
377;377;8111;30;1336;assembly part with defined PCB;300;12.05.21;2022-09-22 12:47:24;12.05.21;12:49:03;8;6;2021-12-05 12:47:24;2021-12-05 12:49:03;66
378;378;8111;40;1336;feed part from magazin;200;12.05.21;2022-09-22 12:50:07;12.05.21;12:50:09;6;63;2021-12-05 12:50:07;2021-12-05 12:50:09;66
469;469;8111;50;1336;pressing for time in seconds;110;12.05.21;2022-09-22 12:50:30;12.05.21;12:50:34;7;14;2021-12-05 12:50:30;2021-12-05 12:50:34;66
470;470;8111;60;1336;store a part from stopper 2;211;12.05.21;2022-09-22 12:52:20;12.05.21;12:52:33;5;1126;2021-12-05 12:52:20;2021-12-05 12:52:33;66
369;369;8111;10;1336;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:38:32;12.05.21;12:38:47;5;0;2021-12-05 12:38:32;2021-12-05 12:38:47;67
370;370;8111;20;1336;feed part from magazin;200;12.05.21;2022-09-22 12:39:14;12.05.21;12:39:16;11;27;2021-12-05 12:39:14;2021-12-05 12:39:16;67
365;365;8111;30;1336;assembly part with defined PCB;300;12.05.21;2022-09-22 12:49:07;12.05.21;12:50:46;8;6;2021-12-05 12:49:07;2021-12-05 12:50:46;67
366;366;8111;40;1336;feed part from magazin;200;12.05.21;2022-09-22 12:51:48;12.05.21;12:51:50;6;63;2021-12-05 12:51:48;2021-12-05 12:51:50;67
367;367;8111;50;1336;pressing for time in seconds;110;12.05.21;2022-09-22 12:52:06;12.05.21;12:52:08;7;14;2021-12-05 12:52:06;2021-12-05 12:52:08;67
368;368;8111;60;1336;store a part from stopper 2;211;12.05.21;2022-09-22 12:53:49;12.05.21;12:54:02;5;1126;2021-12-05 12:53:49;2021-12-05 12:54:02;67
375;375;8111;10;1336;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:38:51;12.05.21;12:39:06;5;0;2021-12-05 12:38:51;2021-12-05 12:39:06;68
376;376;8111;20;1336;feed part from magazin;200;12.05.21;2022-09-22 12:39:33;12.05.21;12:39:35;11;27;2021-12-05 12:39:33;2021-12-05 12:39:35;68
479;479;8111;30;1336;assembly part with defined PCB;300;12.05.21;2022-09-22 12:50:51;12.05.21;12:52:30;8;6;2021-12-05 12:50:51;2021-12-05 12:52:30;68
480;480;8111;40;1336;feed part from magazin;200;12.05.21;2022-09-22 12:53:11;12.05.21;12:53:13;6;63;2021-12-05 12:53:11;2021-12-05 12:53:13;68
481;481;8111;50;1336;pressing for time in seconds;110;12.05.21;2022-09-22 12:53:27;12.05.21;12:53:29;7;14;2021-12-05 12:53:27;2021-12-05 12:53:29;68
389;389;8111;60;1336;store a part from stopper 2;211;12.05.21;2022-09-22 12:55:09;12.05.21;12:55:22;5;1126;2021-12-05 12:55:09;2021-12-05 12:55:22;68
471;471;8111;10;1336;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:41:38;12.05.21;12:41:54;5;0;2021-12-05 12:41:38;2021-12-05 12:41:54;69
472;472;8111;20;1336;feed part from magazin;200;12.05.21;2022-09-22 12:42:21;12.05.21;12:42:23;11;27;2021-12-05 12:42:21;2021-12-05 12:42:23;69
473;473;8111;30;1336;assembly part with defined PCB;300;12.05.21;2022-09-22 12:54:57;12.05.21;12:57:07;8;6;2021-12-05 12:54:57;2021-12-05 12:57:07;69
474;474;8111;40;1336;feed part from magazin;200;12.05.21;2022-09-22 12:57:56;12.05.21;12:57:59;6;63;2021-12-05 12:57:56;2021-12-05 12:57:59;69
475;475;8111;50;1336;pressing for time in seconds;110;12.05.21;2022-09-22 12:58:16;12.05.21;12:58:18;7;14;2021-12-05 12:58:16;2021-12-05 12:58:18;69
476;476;8111;60;1336;store a part from stopper 2;211;12.05.21;2022-09-22 13:00:00;12.05.21;13:00:13;5;1126;2021-12-05 13:00:00;2021-12-05 13:00:13;69
477;477;8111;10;1336;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:42:48;12.05.21;12:43:01;5;0;2021-12-05 12:42:48;2021-12-05 12:43:01;70
478;478;8111;20;1336;feed part from magazin;200;12.05.21;2022-09-22 12:43:28;12.05.21;12:43:30;11;27;2021-12-05 12:43:28;2021-12-05 12:43:30;70
371;371;8111;30;1336;assembly part with defined PCB;300;12.05.21;2022-09-22 12:57:11;12.05.21;12:58:49;8;6;2021-12-05 12:57:11;2021-12-05 12:58:49;70
372;372;8111;40;1336;feed part from magazin;200;12.05.21;2022-09-22 13:00:38;12.05.21;13:00:40;6;63;2021-12-05 13:00:38;2021-12-05 13:00:40;70
373;373;8111;50;1336;pressing for time in seconds;110;12.05.21;2022-09-22 13:00:54;12.05.21;13:00:56;7;14;2021-12-05 13:00:54;2021-12-05 13:00:56;70
374;374;8111;60;1336;store a part from stopper 2;211;12.05.21;2022-09-22 13:03:01;12.05.21;13:03:12;5;1126;2021-12-05 13:03:01;2021-12-05 13:03:12;70
390;390;8010;10;1337;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:58:44;12.05.21;12:58:59;5;0;2021-12-05 12:58:44;2021-12-05 12:58:59;71
391;391;8010;20;1337;feed part from magazin;200;12.05.21;2022-09-22 12:59:24;12.05.21;12:59:26;11;27;2021-12-05 12:59:24;2021-12-05 12:59:26;71
392;392;8010;30;1337;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 13:01:38;12.05.21;13:03:48;8;6;2021-12-05 13:01:38;2021-12-05 13:03:48;71
393;393;8010;40;1337;feed part from magazin;200;12.05.21;2022-09-22 13:04:34;12.05.21;13:04:37;6;63;2021-12-05 13:04:34;2021-12-05 13:04:37;71
394;394;8010;50;1337;pressing for time in seconds;110;12.05.21;2022-09-22 13:04:50;12.05.21;13:04:52;7;14;2021-12-05 13:04:50;2021-12-05 13:04:52;71
395;395;8010;60;1337;store a part from stopper 2;211;12.05.21;2022-09-22 13:07:00;12.05.21;13:07:12;5;1126;2021-12-05 13:07:00;2021-12-05 13:07:12;71
396;396;8010;10;1337;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:59:02;12.05.21;12:59:14;5;0;2021-12-05 12:59:02;2021-12-05 12:59:14;72
397;397;8010;20;1337;feed part from magazin;200;12.05.21;2022-09-22 12:59:41;12.05.21;12:59:43;11;27;2021-12-05 12:59:41;2021-12-05 12:59:43;72
398;398;8010;30;1337;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 13:03:53;12.05.21;13:05:36;8;6;2021-12-05 13:03:53;2021-12-05 13:05:36;72
399;399;8010;40;1337;feed part from magazin;200;12.05.21;2022-09-22 13:06:35;12.05.21;13:06:37;6;63;2021-12-05 13:06:35;2021-12-05 13:06:37;72
400;400;8010;50;1337;pressing for time in seconds;110;12.05.21;2022-09-22 13:06:50;12.05.21;13:06:53;7;14;2021-12-05 13:06:50;2021-12-05 13:06:53;72
401;401;8010;60;1337;store a part from stopper 2;211;12.05.21;2022-09-22 13:08:27;12.05.21;13:08:39;5;1126;2021-12-05 13:08:27;2021-12-05 13:08:39;72
402;402;8010;10;1337;release a defined part on stopper 1;212;12.05.21;2022-09-22 12:59:24;12.05.21;12:59:36;5;0;2021-12-05 12:59:24;2021-12-05 12:59:36;73
403;403;8010;20;1337;feed part from magazin;200;12.05.21;2022-09-22 13:00:03;12.05.21;13:00:05;11;27;2021-12-05 13:00:03;2021-12-05 13:00:05;73
404;404;8010;30;1337;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 13:06:20;12.05.21;13:08:03;8;6;2021-12-05 13:06:20;2021-12-05 13:08:03;73
405;405;8010;40;1337;feed part from magazin;200;12.05.21;2022-09-22 13:08:57;12.05.21;13:08:59;6;63;2021-12-05 13:08:57;2021-12-05 13:08:59;73
406;406;8010;50;1337;pressing for time in seconds;110;12.05.21;2022-09-22 13:09:18;12.05.21;13:09:20;7;14;2021-12-05 13:09:18;2021-12-05 13:09:20;73
407;407;8010;60;1337;store a part from stopper 2;211;12.05.21;2022-09-22 13:10:39;12.05.21;13:10:52;5;1126;2021-12-05 13:10:39;2021-12-05 13:10:52;73
408;408;8010;10;1337;release a defined part on stopper 1;212;12.05.21;2022-09-22 13:00:55;12.05.21;13:01:09;5;0;2021-12-05 13:00:55;2021-12-05 13:01:09;74
499;499;8010;20;1337;feed part from magazin;200;12.05.21;2022-09-22 13:01:35;12.05.21;13:01:37;11;27;2021-12-05 13:01:35;2021-12-05 13:01:37;74
500;500;8010;30;1337;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 13:08:09;12.05.21;13:09:52;8;6;2021-12-05 13:08:09;2021-12-05 13:09:52;74
501;501;8010;40;1337;feed part from magazin;200;12.05.21;2022-09-22 13:11:19;12.05.21;13:11:21;6;63;2021-12-05 13:11:19;2021-12-05 13:11:21;74
502;502;8010;50;1337;pressing for time in seconds;110;12.05.21;2022-09-22 13:11:39;12.05.21;13:11:41;7;14;2021-12-05 13:11:39;2021-12-05 13:11:41;74
503;503;8010;60;1337;store a part from stopper 2;211;12.05.21;2022-09-22 13:13:47;12.05.21;13:13:59;5;1126;2021-12-05 13:13:47;2021-12-05 13:13:59;74
504;504;8010;10;1337;release a defined part on stopper 1;212;12.05.21;2022-09-22 13:01:12;12.05.21;13:01:26;5;0;2021-12-05 13:01:12;2021-12-05 13:01:26;75
505;505;8010;20;1337;feed part from magazin;200;12.05.21;2022-09-22 13:01:53;12.05.21;13:01:55;11;27;2021-12-05 13:01:53;2021-12-05 13:01:55;75
506;506;8010;30;1337;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 13:18:27;12.05.21;13:20:10;8;6;2021-12-05 13:18:27;2021-12-05 13:20:10;75
507;507;8010;40;1337;feed part from magazin;200;12.05.21;2022-09-22 13:20:54;12.05.21;13:20:56;6;63;2021-12-05 13:20:54;2021-12-05 13:20:56;75
508;508;8010;50;1337;pressing for time in seconds;110;12.05.21;2022-09-22 13:21:09;12.05.21;13:21:15;7;14;2021-12-05 13:21:09;2021-12-05 13:21:15;75
509;509;8010;60;1337;store a part from stopper 2;211;12.05.21;2022-09-22 13:22:37;12.05.21;13:22:49;5;1126;2021-12-05 13:22:37;2021-12-05 13:22:49;75
510;510;8111;10;1337;release a defined part on stopper 1;212;12.05.21;2022-09-22 13:01:30;12.05.21;13:01:43;5;0;2021-12-05 13:01:30;2021-12-05 13:01:43;76
511;511;8111;20;1337;feed part from magazin;200;12.05.21;2022-09-22 13:02:10;12.05.21;13:02:12;11;27;2021-12-05 13:02:10;2021-12-05 13:02:12;76
524;524;8111;30;1337;assembly part with defined PCB;300;12.05.21;2022-09-22 13:09:56;12.05.21;13:11:36;8;6;2021-12-05 13:09:56;2021-12-05 13:11:36;76
525;525;8111;40;1337;feed part from magazin;200;12.05.21;2022-09-22 13:12:41;12.05.21;13:12:43;6;63;2021-12-05 13:12:41;2021-12-05 13:12:43;76
526;526;8111;50;1337;pressing for time in seconds;110;12.05.21;2022-09-22 13:12:57;12.05.21;13:12:59;7;14;2021-12-05 13:12:57;2021-12-05 13:12:59;76
527;527;8111;60;1337;store a part from stopper 2;211;12.05.21;2022-09-22 13:14:20;12.05.21;13:14:34;5;1126;2021-12-05 13:14:20;2021-12-05 13:14:34;76
516;516;8111;10;1337;release a defined part on stopper 1;212;12.05.21;2022-09-22 13:01:47;12.05.21;13:02:01;5;0;2021-12-05 13:01:47;2021-12-05 13:02:01;77
517;517;8111;20;1337;feed part from magazin;200;12.05.21;2022-09-22 13:02:27;12.05.21;13:02:30;11;27;2021-12-05 13:02:27;2021-12-05 13:02:30;77
536;536;8111;30;1337;assembly part with defined PCB;300;12.05.21;2022-09-22 13:11:41;12.05.21;13:13:48;8;6;2021-12-05 13:11:41;2021-12-05 13:13:48;77
537;537;8111;40;1337;feed part from magazin;200;12.05.21;2022-09-22 13:15:06;12.05.21;13:15:08;6;63;2021-12-05 13:15:06;2021-12-05 13:15:08;77
538;538;8111;50;1337;pressing for time in seconds;110;12.05.21;2022-09-22 13:15:25;12.05.21;13:15:28;7;14;2021-12-05 13:15:25;2021-12-05 13:15:28;77
539;539;8111;60;1337;store a part from stopper 2;211;12.05.21;2022-09-22 13:17:05;12.05.21;13:17:18;5;1126;2021-12-05 13:17:05;2021-12-05 13:17:18;77
522;522;8111;10;1337;release a defined part on stopper 1;212;12.05.21;2022-09-22 13:02:10;12.05.21;13:02:24;5;0;2021-12-05 13:02:10;2021-12-05 13:02:24;78
523;523;8111;20;1337;feed part from magazin;200;12.05.21;2022-09-22 13:02:51;12.05.21;13:02:53;11;27;2021-12-05 13:02:51;2021-12-05 13:02:53;78
530;530;8111;30;1337;assembly part with defined PCB;300;12.05.21;2022-09-22 13:13:52;12.05.21;13:15:31;8;6;2021-12-05 13:13:52;2021-12-05 13:15:31;78
531;531;8111;40;1337;feed part from magazin;200;12.05.21;2022-09-22 13:17:17;12.05.21;13:17:19;6;63;2021-12-05 13:17:17;2021-12-05 13:17:19;78
532;532;8111;50;1337;pressing for time in seconds;110;12.05.21;2022-09-22 13:17:33;12.05.21;13:17:35;7;14;2021-12-05 13:17:33;2021-12-05 13:17:35;78
533;533;8111;60;1337;store a part from stopper 2;211;12.05.21;2022-09-22 13:19:15;12.05.21;13:19:27;5;1126;2021-12-05 13:19:15;2021-12-05 13:19:27;78
528;528;8111;10;1337;release a defined part on stopper 1;212;12.05.21;2022-09-22 13:04:46;12.05.21;13:05:01;5;0;2021-12-05 13:04:46;2021-12-05 13:05:01;79
529;529;8111;20;1337;feed part from magazin;200;12.05.21;2022-09-22 13:05:27;12.05.21;13:05:29;11;27;2021-12-05 13:05:27;2021-12-05 13:05:29;79
512;512;8111;30;1337;assembly part with defined PCB;300;12.05.21;2022-09-22 13:16:43;12.05.21;13:18:22;8;6;2021-12-05 13:16:43;2021-12-05 13:18:22;79
513;513;8111;40;1337;feed part from magazin;200;12.05.21;2022-09-22 13:19:16;12.05.21;13:19:19;6;63;2021-12-05 13:19:16;2021-12-05 13:19:19;79
