;level_0;Unnamed: 0;index;Produktvariante;Prozessschritt;Auftragsnummer;Prozessbeschreibung;Prozessnummer;Startdatum;Startzeit;Enddatum;Endzeit;Arbeitsstation;Transportzeit;Start;Ende;werkstueckID
338;338;338;338;8110;30;1335;assembly part with defined PCB;300;12.05.2021;12:28:04;12.05.2021;12:29:34;8;6;05.12.2021 12:28;05.12.2021 12:29;57
339;339;339;339;8110;40;1335;feed part from magazin;200;12.05.2021;12:30:20;12.05.2021;12:30:22;6;63;05.12.2021 12:30;05.12.2021 12:30;57
340;340;340;340;8110;50;1335;pressing for time in seconds;110;12.05.2021;12:30:40;12.05.2021;12:30:50;7;14;05.12.2021 12:30;05.12.2021 12:30;57
341;341;341;341;8110;60;1335;store a part from stopper 2;211;12.05.2021;12:32:50;12.05.2021;12:33:03;5;1126;05.12.2021 12:32;05.12.2021 12:33;57
342;342;342;342;8110;10;1335;release a defined part on stopper 1;212;12.05.2021;12:12:33;12.05.2021;12:12:48;5;0;05.12.2021 12:12;05.12.2021 12:12;58
343;343;343;343;8110;20;1335;feed part from magazin;200;12.05.2021;12:13:14;12.05.2021;12:13:16;11;27;05.12.2021 12:13;05.12.2021 12:13;58
344;344;344;356;8110;30;1335;assembly part with defined PCB;300;12.05.2021;12:29:40;12.05.2021;12:31:10;8;6;05.12.2021 12:29;05.12.2021 12:31;58
345;345;345;357;8110;40;1335;feed part from magazin;200;12.05.2021;12:31:58;12.05.2021;12:32:00;6;63;05.12.2021 12:31;05.12.2021 12:32;58
346;346;346;358;8110;50;1335;pressing for time in seconds;110;12.05.2021;12:32:15;12.05.2021;12:32:18;7;14;05.12.2021 12:32;05.12.2021 12:32;58
347;347;347;359;8110;60;1335;store a part from stopper 2;211;12.05.2021;12:33:58;12.05.2021;12:34:11;5;1126;05.12.2021 12:33;05.12.2021 12:34;58
348;348;352;348;8110;10;1335;release a defined part on stopper 1;212;12.05.2021;12:14:12;12.05.2021;12:14:26;5;0;05.12.2021 12:14;05.12.2021 12:14;59
349;349;353;349;8110;20;1335;feed part from magazin;200;12.05.2021;12:14:53;12.05.2021;12:14:55;11;27;05.12.2021 12:14;05.12.2021 12:14;59
350;350;348;332;8110;30;1335;assembly part with defined PCB;300;12.05.2021;12:31:14;12.05.2021;12:32:45;8;6;05.12.2021 12:31;05.12.2021 12:32;59
351;351;349;333;8110;40;1335;feed part from magazin;200;12.05.2021;12:33:30;12.05.2021;12:33:32;6;63;05.12.2021 12:33;05.12.2021 12:33;59
352;352;350;334;8110;50;1335;pressing for time in seconds;110;12.05.2021;12:33:45;12.05.2021;12:33:48;7;14;05.12.2021 12:33;05.12.2021 12:33;59
353;353;351;335;8110;60;1335;store a part from stopper 2;211;12.05.2021;12:35:24;12.05.2021;12:35:36;5;1126;05.12.2021 12:35;05.12.2021 12:35;59
354;354;358;354;8110;10;1335;release a defined part on stopper 1;212;12.05.2021;12:20:48;12.05.2021;12:21:03;5;0;05.12.2021 12:20;05.12.2021 12:21;60
355;355;359;355;8110;20;1335;feed part from magazin;200;12.05.2021;12:22:00;12.05.2021;12:22:02;11;27;05.12.2021 12:22;05.12.2021 12:22;60
356;356;354;350;8110;30;1335;assembly part with defined PCB;300;12.05.2021;12:36:06;12.05.2021;12:37:42;8;6;05.12.2021 12:36;05.12.2021 12:37;60
357;357;355;351;8110;40;1335;feed part from magazin;200;12.05.2021;12:38:53;12.05.2021;12:38:56;6;63;05.12.2021 12:38;05.12.2021 12:38;60
358;358;356;352;8110;50;1335;pressing for time in seconds;110;12.05.2021;12:39:15;12.05.2021;12:39:17;7;14;05.12.2021 12:39;05.12.2021 12:39;60
359;359;357;353;8110;60;1335;store a part from stopper 2;211;12.05.2021;12:40:51;12.05.2021;12:41:02;5;1126;05.12.2021 12:40;05.12.2021 12:41;60
360;360;360;360;8011;10;1336;release a defined part on stopper 1;212;12.05.2021;12:35:39;12.05.2021;12:35:52;5;0;05.12.2021 12:35;05.12.2021 12:35;61
361;361;361;482;8011;20;1336;feed part from magazin;200;12.05.2021;12:36:19;12.05.2021;12:36:21;11;27;05.12.2021 12:36;05.12.2021 12:36;61
362;362;362;483;8011;30;1336;assemble a PCB with fuse left and right ;304;12.05.2021;12:38:24;12.05.2021;12:42:26;8;6;05.12.2021 12:38;05.12.2021 12:42;61
363;363;363;484;8011;40;1336;feed part from magazin;200;12.05.2021;12:43:25;12.05.2021;12:43:27;6;63;05.12.2021 12:43;05.12.2021 12:43;61
364;364;364;485;8011;50;1336;pressing for time in seconds;110;12.05.2021;12:43:46;12.05.2021;12:43:48;7;14;05.12.2021 12:43;05.12.2021 12:43;61
365;365;365;486;8011;60;1336;store a part from stopper 2;211;12.05.2021;12:45:29;12.05.2021;12:45:41;5;1126;05.12.2021 12:45;05.12.2021 12:45;61
366;366;366;487;8011;10;1336;release a defined part on stopper 1;212;12.05.2021;12:35:56;12.05.2021;12:36:07;5;0;05.12.2021 12:35;05.12.2021 12:36;62
367;367;367;488;8011;20;1336;feed part from magazin;200;12.05.2021;12:36:34;12.05.2021;12:36:37;11;27;05.12.2021 12:36;05.12.2021 12:36;62
368;368;368;489;8011;30;1336;assemble a PCB with fuse left and right ;304;12.05.2021;12:42:31;12.05.2021;12:44:22;8;6;05.12.2021 12:42;05.12.2021 12:44;62
369;369;369;490;8011;40;1336;feed part from magazin;200;12.05.2021;12:46:28;12.05.2021;12:46:31;6;63;05.12.2021 12:46;05.12.2021 12:46;62
370;370;370;491;8011;50;1336;pressing for time in seconds;110;12.05.2021;12:46:50;12.05.2021;12:46:52;7;14;05.12.2021 12:46;05.12.2021 12:46;62
371;371;371;492;8011;60;1336;store a part from stopper 2;211;12.05.2021;12:48:37;12.05.2021;12:48:49;5;1126;05.12.2021 12:48;05.12.2021 12:48;62
372;372;372;493;8011;10;1336;release a defined part on stopper 1;212;12.05.2021;12:36:11;12.05.2021;12:36:25;5;0;05.12.2021 12:36;05.12.2021 12:36;63
373;373;373;494;8011;20;1336;feed part from magazin;200;12.05.2021;12:36:51;12.05.2021;12:36:53;11;27;05.12.2021 12:36;05.12.2021 12:36;63
374;374;374;495;8011;30;1336;assemble a PCB with fuse left and right ;304;12.05.2021;12:45:29;12.05.2021;12:47:20;8;6;05.12.2021 12:45;05.12.2021 12:47;63
375;375;375;496;8011;40;1336;feed part from magazin;200;12.05.2021;12:48:13;12.05.2021;12:48:16;6;63;05.12.2021 12:48;05.12.2021 12:48;63
376;376;376;497;8011;50;1336;pressing for time in seconds;110;12.05.2021;12:48:35;12.05.2021;12:48:38;7;14;05.12.2021 12:48;05.12.2021 12:48;63
377;377;377;498;8011;60;1336;store a part from stopper 2;211;12.05.2021;12:50:30;12.05.2021;12:50:45;5;1126;05.12.2021 12:50;05.12.2021 12:50;63
378;378;378;379;8011;10;1336;release a defined part on stopper 1;212;12.05.2021;12:37:37;12.05.2021;12:37:51;5;0;05.12.2021 12:37;05.12.2021 12:37;64
379;379;379;380;8011;20;1336;feed part from magazin;200;12.05.2021;12:38:18;12.05.2021;12:38:20;11;27;05.12.2021 12:38;05.12.2021 12:38;64
380;380;380;381;8011;30;1336;assemble a PCB with fuse left and right ;304;12.05.2021;12:52:34;12.05.2021;12:54:25;8;6;05.12.2021 12:52;05.12.2021 12:54;64
381;381;381;382;8011;40;1336;feed part from magazin;200;12.05.2021;12:55:11;12.05.2021;12:55:13;6;63;05.12.2021 12:55;05.12.2021 12:55;64
382;382;382;383;8011;50;1336;pressing for time in seconds;110;12.05.2021;12:55:27;12.05.2021;12:55:29;7;14;05.12.2021 12:55;05.12.2021 12:55;64
383;383;383;384;8011;60;1336;store a part from stopper 2;211;12.05.2021;12:57:04;12.05.2021;12:57:18;5;1126;05.12.2021 12:57;05.12.2021 12:57;64
384;384;386;385;8011;10;1336;release a defined part on stopper 1;212;12.05.2021;12:37:54;12.05.2021;12:38:09;5;0;05.12.2021 12:37;05.12.2021 12:38;65
385;385;387;386;8011;20;1336;feed part from magazin;200;12.05.2021;12:38:35;12.05.2021;12:38:37;11;27;05.12.2021 12:38;05.12.2021 12:38;65
386;386;388;387;8011;30;1336;assemble a PCB with fuse left and right ;304;12.05.2021;12:58:54;12.05.2021;13:00:45;8;6;05.12.2021 12:58;05.12.2021 13:00;65
387;387;389;388;8011;40;1336;feed part from magazin;200;12.05.2021;13:01:47;12.05.2021;13:01:49;6;63;05.12.2021 13:01;05.12.2021 13:01;65
388;388;384;361;8011;50;1336;pressing for time in seconds;110;12.05.2021;13:02:02;12.05.2021;13:02:05;7;14;05.12.2021 13:02;05.12.2021 13:02;65
389;389;385;362;8011;60;1336;store a part from stopper 2;211;12.05.2021;13:03:28;12.05.2021;13:03:40;5;1126;05.12.2021 13:03;05.12.2021 13:03;65
390;390;390;363;8111;10;1336;release a defined part on stopper 1;212;12.05.2021;12:38:12;12.05.2021;12:38:28;5;0;05.12.2021 12:38;05.12.2021 12:38;66
391;391;391;364;8111;20;1336;feed part from magazin;200;12.05.2021;12:38:55;12.05.2021;12:38:57;11;27;05.12.2021 12:38;05.12.2021 12:38;66
392;392;392;377;8111;30;1336;assembly part with defined PCB;300;12.05.2021;12:47:24;12.05.2021;12:49:03;8;6;05.12.2021 12:47;05.12.2021 12:49;66
393;393;393;378;8111;40;1336;feed part from magazin;200;12.05.2021;12:50:07;12.05.2021;12:50:09;6;63;05.12.2021 12:50;05.12.2021 12:50;66
394;394;394;469;8111;50;1336;pressing for time in seconds;110;12.05.2021;12:50:30;12.05.2021;12:50:34;7;14;05.12.2021 12:50;05.12.2021 12:50;66
395;395;395;470;8111;60;1336;store a part from stopper 2;211;12.05.2021;12:52:20;12.05.2021;12:52:33;5;1126;05.12.2021 12:52;05.12.2021 12:52;66
396;396;400;369;8111;10;1336;release a defined part on stopper 1;212;12.05.2021;12:38:32;12.05.2021;12:38:47;5;0;05.12.2021 12:38;05.12.2021 12:38;67
397;397;401;370;8111;20;1336;feed part from magazin;200;12.05.2021;12:39:14;12.05.2021;12:39:16;11;27;05.12.2021 12:39;05.12.2021 12:39;67
398;398;396;365;8111;30;1336;assembly part with defined PCB;300;12.05.2021;12:49:07;12.05.2021;12:50:46;8;6;05.12.2021 12:49;05.12.2021 12:50;67
399;399;397;366;8111;40;1336;feed part from magazin;200;12.05.2021;12:51:48;12.05.2021;12:51:50;6;63;05.12.2021 12:51;05.12.2021 12:51;67
400;400;398;367;8111;50;1336;pressing for time in seconds;110;12.05.2021;12:52:06;12.05.2021;12:52:08;7;14;05.12.2021 12:52;05.12.2021 12:52;67
401;401;399;368;8111;60;1336;store a part from stopper 2;211;12.05.2021;12:53:49;12.05.2021;12:54:02;5;1126;05.12.2021 12:53;05.12.2021 12:54;67
402;402;402;375;8111;10;1336;release a defined part on stopper 1;212;12.05.2021;12:38:51;12.05.2021;12:39:06;5;0;05.12.2021 12:38;05.12.2021 12:39;68
403;403;403;376;8111;20;1336;feed part from magazin;200;12.05.2021;12:39:33;12.05.2021;12:39:35;11;27;05.12.2021 12:39;05.12.2021 12:39;68
404;404;405;479;8111;30;1336;assembly part with defined PCB;300;12.05.2021;12:50:51;12.05.2021;12:52:30;8;6;05.12.2021 12:50;05.12.2021 12:52;68
405;405;406;480;8111;40;1336;feed part from magazin;200;12.05.2021;12:53:11;12.05.2021;12:53:13;6;63;05.12.2021 12:53;05.12.2021 12:53;68
406;406;407;481;8111;50;1336;pressing for time in seconds;110;12.05.2021;12:53:27;12.05.2021;12:53:29;7;14;05.12.2021 12:53;05.12.2021 12:53;68
407;407;404;389;8111;60;1336;store a part from stopper 2;211;12.05.2021;12:55:09;12.05.2021;12:55:22;5;1126;05.12.2021 12:55;05.12.2021 12:55;68
408;408;408;471;8111;10;1336;release a defined part on stopper 1;212;12.05.2021;12:41:38;12.05.2021;12:41:54;5;0;05.12.2021 12:41;05.12.2021 12:41;69
409;409;409;472;8111;20;1336;feed part from magazin;200;12.05.2021;12:42:21;12.05.2021;12:42:23;11;27;05.12.2021 12:42;05.12.2021 12:42;69
410;410;410;473;8111;30;1336;assembly part with defined PCB;300;12.05.2021;12:54:57;12.05.2021;12:57:07;8;6;05.12.2021 12:54;05.12.2021 12:57;69
411;411;411;474;8111;40;1336;feed part from magazin;200;12.05.2021;12:57:56;12.05.2021;12:57:59;6;63;05.12.2021 12:57;05.12.2021 12:57;69
412;412;412;475;8111;50;1336;pressing for time in seconds;110;12.05.2021;12:58:16;12.05.2021;12:58:18;7;14;05.12.2021 12:58;05.12.2021 12:58;69
413;413;413;476;8111;60;1336;store a part from stopper 2;211;12.05.2021;13:00:00;12.05.2021;13:00:13;5;1126;05.12.2021 13:00;05.12.2021 13:00;69
414;414;418;477;8111;10;1336;release a defined part on stopper 1;212;12.05.2021;12:42:48;12.05.2021;12:43:01;5;0;05.12.2021 12:42;05.12.2021 12:43;70
415;415;419;478;8111;20;1336;feed part from magazin;200;12.05.2021;12:43:28;12.05.2021;12:43:30;11;27;05.12.2021 12:43;05.12.2021 12:43;70
416;416;414;371;8111;30;1336;assembly part with defined PCB;300;12.05.2021;12:57:11;12.05.2021;12:58:49;8;6;05.12.2021 12:57;05.12.2021 12:58;70
417;417;415;372;8111;40;1336;feed part from magazin;200;12.05.2021;13:00:38;12.05.2021;13:00:40;6;63;05.12.2021 13:00;05.12.2021 13:00;70
418;418;416;373;8111;50;1336;pressing for time in seconds;110;12.05.2021;13:00:54;12.05.2021;13:00:56;7;14;05.12.2021 13:00;05.12.2021 13:00;70
419;419;417;374;8111;60;1336;store a part from stopper 2;211;12.05.2021;13:03:01;12.05.2021;13:03:12;5;1126;05.12.2021 13:03;05.12.2021 13:03;70
420;420;420;390;8010;10;1337;release a defined part on stopper 1;212;12.05.2021;12:58:44;12.05.2021;12:58:59;5;0;05.12.2021 12:58;05.12.2021 12:58;71
421;421;421;391;8010;20;1337;feed part from magazin;200;12.05.2021;12:59:24;12.05.2021;12:59:26;11;27;05.12.2021 12:59;05.12.2021 12:59;71
422;422;422;392;8010;30;1337;assemble a PCB with one fuse left;302;12.05.2021;13:01:38;12.05.2021;13:03:48;8;6;05.12.2021 13:01;05.12.2021 13:03;71
423;423;423;393;8010;40;1337;feed part from magazin;200;12.05.2021;13:04:34;12.05.2021;13:04:37;6;63;05.12.2021 13:04;05.12.2021 13:04;71
424;424;424;394;8010;50;1337;pressing for time in seconds;110;12.05.2021;13:04:50;12.05.2021;13:04:52;7;14;05.12.2021 13:04;05.12.2021 13:04;71
425;425;425;395;8010;60;1337;store a part from stopper 2;211;12.05.2021;13:07:00;12.05.2021;13:07:12;5;1126;05.12.2021 13:07;05.12.2021 13:07;71
426;426;426;396;8010;10;1337;release a defined part on stopper 1;212;12.05.2021;12:59:02;12.05.2021;12:59:14;5;0;05.12.2021 12:59;05.12.2021 12:59;72
427;427;427;397;8010;20;1337;feed part from magazin;200;12.05.2021;12:59:41;12.05.2021;12:59:43;11;27;05.12.2021 12:59;05.12.2021 12:59;72
428;428;428;398;8010;30;1337;assemble a PCB with one fuse left;302;12.05.2021;13:03:53;12.05.2021;13:05:36;8;6;05.12.2021 13:03;05.12.2021 13:05;72
429;429;429;399;8010;40;1337;feed part from magazin;200;12.05.2021;13:06:35;12.05.2021;13:06:37;6;63;05.12.2021 13:06;05.12.2021 13:06;72
430;430;430;400;8010;50;1337;pressing for time in seconds;110;12.05.2021;13:06:50;12.05.2021;13:06:53;7;14;05.12.2021 13:06;05.12.2021 13:06;72
431;431;431;401;8010;60;1337;store a part from stopper 2;211;12.05.2021;13:08:27;12.05.2021;13:08:39;5;1126;05.12.2021 13:08;05.12.2021 13:08;72
432;432;432;402;8010;10;1337;release a defined part on stopper 1;212;12.05.2021;12:59:24;12.05.2021;12:59:36;5;0;05.12.2021 12:59;05.12.2021 12:59;73
433;433;433;403;8010;20;1337;feed part from magazin;200;12.05.2021;13:00:03;12.05.2021;13:00:05;11;27;05.12.2021 13:00;05.12.2021 13:00;73
434;434;434;404;8010;30;1337;assemble a PCB with one fuse left;302;12.05.2021;13:06:20;12.05.2021;13:08:03;8;6;05.12.2021 13:06;05.12.2021 13:08;73
435;435;435;405;8010;40;1337;feed part from magazin;200;12.05.2021;13:08:57;12.05.2021;13:08:59;6;63;05.12.2021 13:08;05.12.2021 13:08;73
436;436;436;406;8010;50;1337;pressing for time in seconds;110;12.05.2021;13:09:18;12.05.2021;13:09:20;7;14;05.12.2021 13:09;05.12.2021 13:09;73
437;437;437;407;8010;60;1337;store a part from stopper 2;211;12.05.2021;13:10:39;12.05.2021;13:10:52;5;1126;05.12.2021 13:10;05.12.2021 13:10;73
438;438;438;408;8010;10;1337;release a defined part on stopper 1;212;12.05.2021;13:00:55;12.05.2021;13:01:09;5;0;05.12.2021 13:00;05.12.2021 13:01;74
439;439;439;499;8010;20;1337;feed part from magazin;200;12.05.2021;13:01:35;12.05.2021;13:01:37;11;27;05.12.2021 13:01;05.12.2021 13:01;74
440;440;440;500;8010;30;1337;assemble a PCB with one fuse left;302;12.05.2021;13:08:09;12.05.2021;13:09:52;8;6;05.12.2021 13:08;05.12.2021 13:09;74
441;441;441;501;8010;40;1337;feed part from magazin;200;12.05.2021;13:11:19;12.05.2021;13:11:21;6;63;05.12.2021 13:11;05.12.2021 13:11;74
442;442;442;502;8010;50;1337;pressing for time in seconds;110;12.05.2021;13:11:39;12.05.2021;13:11:41;7;14;05.12.2021 13:11;05.12.2021 13:11;74
443;443;443;503;8010;60;1337;store a part from stopper 2;211;12.05.2021;13:13:47;12.05.2021;13:13:59;5;1126;05.12.2021 13:13;05.12.2021 13:13;74
444;444;444;504;8010;10;1337;release a defined part on stopper 1;212;12.05.2021;13:01:12;12.05.2021;13:01:26;5;0;05.12.2021 13:01;05.12.2021 13:01;75
445;445;445;505;8010;20;1337;feed part from magazin;200;12.05.2021;13:01:53;12.05.2021;13:01:55;11;27;05.12.2021 13:01;05.12.2021 13:01;75
446;446;446;506;8010;30;1337;assemble a PCB with one fuse left;302;12.05.2021;13:18:27;12.05.2021;13:20:10;8;6;05.12.2021 13:18;05.12.2021 13:20;75
447;447;447;507;8010;40;1337;feed part from magazin;200;12.05.2021;13:20:54;12.05.2021;13:20:56;6;63;05.12.2021 13:20;05.12.2021 13:20;75
448;448;448;508;8010;50;1337;pressing for time in seconds;110;12.05.2021;13:21:09;12.05.2021;13:21:15;7;14;05.12.2021 13:21;05.12.2021 13:21;75
449;449;449;509;8010;60;1337;store a part from stopper 2;211;12.05.2021;13:22:37;12.05.2021;13:22:49;5;1126;05.12.2021 13:22;05.12.2021 13:22;75
450;450;450;510;8111;10;1337;release a defined part on stopper 1;212;12.05.2021;13:01:30;12.05.2021;13:01:43;5;0;05.12.2021 13:01;05.12.2021 13:01;76
451;451;451;511;8111;20;1337;feed part from magazin;200;12.05.2021;13:02:10;12.05.2021;13:02:12;11;27;05.12.2021 13:02;05.12.2021 13:02;76
452;452;452;524;8111;30;1337;assembly part with defined PCB;300;12.05.2021;13:09:56;12.05.2021;13:11:36;8;6;05.12.2021 13:09;05.12.2021 13:11;76
453;453;453;525;8111;40;1337;feed part from magazin;200;12.05.2021;13:12:41;12.05.2021;13:12:43;6;63;05.12.2021 13:12;05.12.2021 13:12;76
454;454;454;526;8111;50;1337;pressing for time in seconds;110;12.05.2021;13:12:57;12.05.2021;13:12:59;7;14;05.12.2021 13:12;05.12.2021 13:12;76
455;455;455;527;8111;60;1337;store a part from stopper 2;211;12.05.2021;13:14:20;12.05.2021;13:14:34;5;1126;05.12.2021 13:14;05.12.2021 13:14;76
456;456;456;516;8111;10;1337;release a defined part on stopper 1;212;12.05.2021;13:01:47;12.05.2021;13:02:01;5;0;05.12.2021 13:01;05.12.2021 13:02;77
457;457;457;517;8111;20;1337;feed part from magazin;200;12.05.2021;13:02:27;12.05.2021;13:02:30;11;27;05.12.2021 13:02;05.12.2021 13:02;77
458;458;458;536;8111;30;1337;assembly part with defined PCB;300;12.05.2021;13:11:41;12.05.2021;13:13:48;8;6;05.12.2021 13:11;05.12.2021 13:13;77
459;459;459;537;8111;40;1337;feed part from magazin;200;12.05.2021;13:15:06;12.05.2021;13:15:08;6;63;05.12.2021 13:15;05.12.2021 13:15;77
460;460;460;538;8111;50;1337;pressing for time in seconds;110;12.05.2021;13:15:25;12.05.2021;13:15:28;7;14;05.12.2021 13:15;05.12.2021 13:15;77
461;461;461;539;8111;60;1337;store a part from stopper 2;211;12.05.2021;13:17:05;12.05.2021;13:17:18;5;1126;05.12.2021 13:17;05.12.2021 13:17;77
462;462;462;522;8111;10;1337;release a defined part on stopper 1;212;12.05.2021;13:02:10;12.05.2021;13:02:24;5;0;05.12.2021 13:02;05.12.2021 13:02;78
463;463;463;523;8111;20;1337;feed part from magazin;200;12.05.2021;13:02:51;12.05.2021;13:02:53;11;27;05.12.2021 13:02;05.12.2021 13:02;78
464;464;464;530;8111;30;1337;assembly part with defined PCB;300;12.05.2021;13:13:52;12.05.2021;13:15:31;8;6;05.12.2021 13:13;05.12.2021 13:15;78
465;465;465;531;8111;40;1337;feed part from magazin;200;12.05.2021;13:17:17;12.05.2021;13:17:19;6;63;05.12.2021 13:17;05.12.2021 13:17;78
466;466;466;532;8111;50;1337;pressing for time in seconds;110;12.05.2021;13:17:33;12.05.2021;13:17:35;7;14;05.12.2021 13:17;05.12.2021 13:17;78
467;467;467;533;8111;60;1337;store a part from stopper 2;211;12.05.2021;13:19:15;12.05.2021;13:19:27;5;1126;05.12.2021 13:19;05.12.2021 13:19;78
468;468;472;528;8111;10;1337;release a defined part on stopper 1;212;12.05.2021;13:04:46;12.05.2021;13:05:01;5;0;05.12.2021 13:04;05.12.2021 13:05;79
469;469;473;529;8111;20;1337;feed part from magazin;200;12.05.2021;13:05:27;12.05.2021;13:05:29;11;27;05.12.2021 13:05;05.12.2021 13:05;79
470;470;468;512;8111;30;1337;assembly part with defined PCB;300;12.05.2021;13:16:43;12.05.2021;13:18:22;8;6;05.12.2021 13:16;05.12.2021 13:18;79
471;471;469;513;8111;40;1337;feed part from magazin;200;12.05.2021;13:19:16;12.05.2021;13:19:19;6;63;05.12.2021 13:19;05.12.2021 13:19;79
472;472;470;514;8111;50;1337;pressing for time in seconds;110;12.05.2021;13:19:34;12.05.2021;13:19:36;7;14;05.12.2021 13:19;05.12.2021 13:19;79
473;473;471;515;8111;60;1337;store a part from stopper 2;211;12.05.2021;13:21:10;12.05.2021;13:21:21;5;1126;05.12.2021 13:21;05.12.2021 13:21;79
474;474;478;534;8111;10;1337;release a defined part on stopper 1;212;12.05.2021;13:05:31;12.05.2021;13:05:45;5;0;05.12.2021 13:05;05.12.2021 13:05;80
475;475;479;535;8111;20;1337;feed part from magazin;200;12.05.2021;13:06:13;12.05.2021;13:06:15;11;27;05.12.2021 13:06;05.12.2021 13:06;80
476;476;474;518;8111;30;1337;assembly part with defined PCB;300;12.05.2021;13:20:14;12.05.2021;13:21:53;8;6;05.12.2021 13:20;05.12.2021 13:21;80
477;477;475;519;8111;40;1337;feed part from magazin;200;12.05.2021;13:23:22;12.05.2021;13:23:24;6;63;05.12.2021 13:23;05.12.2021 13:23;80
478;478;476;520;8111;50;1337;pressing for time in seconds;110;12.05.2021;13:23:45;12.05.2021;13:23:56;7;14;05.12.2021 13:23;05.12.2021 13:23;80
479;479;477;521;8111;60;1337;store a part from stopper 2;211;12.05.2021;13:25:31;12.05.2021;13:25:44;5;1126;05.12.2021 13:25;05.12.2021 13:25;80
480;480;480;540;8011;10;1338;release a defined part on stopper 1;212;12.05.2021;13:16:06;12.05.2021;13:16:19;5;0;05.12.2021 13:16;05.12.2021 13:16;81
481;481;481;543;8011;20;1338;feed part from magazin;200;12.05.2021;13:16:46;12.05.2021;13:16:48;11;27;05.12.2021 13:16;05.12.2021 13:16;81
482;482;482;544;8011;30;1338;assemble a PCB with fuse left and right ;304;12.05.2021;13:21:58;12.05.2021;13:23:50;8;6;05.12.2021 13:21;05.12.2021 13:23;81
483;483;483;545;8011;40;1338;feed part from magazin;200;12.05.2021;13:24:41;12.05.2021;13:24:44;6;63;05.12.2021 13:24;05.12.2021 13:24;81
484;484;484;546;8011;50;1338;pressing for time in seconds;110;12.05.2021;13:24:59;12.05.2021;13:25:01;7;14;05.12.2021 13:24;05.12.2021 13:25;81
485;485;485;547;8011;60;1338;store a part from stopper 2;211;12.05.2021;13:26:34;12.05.2021;13:26:45;5;1126;05.12.2021 13:26;05.12.2021 13:26;81
486;486;486;548;8011;10;1338;release a defined part on stopper 1;212;12.05.2021;13:17:28;12.05.2021;13:17:40;5;0;05.12.2021 13:17;05.12.2021 13:17;82
487;487;487;549;8011;20;1338;feed part from magazin;200;12.05.2021;13:18:07;12.05.2021;13:18:10;11;27;05.12.2021 13:18;05.12.2021 13:18;82
488;488;488;556;8011;30;1338;assemble a PCB with fuse left and right ;304;12.05.2021;13:23:56;12.05.2021;13:25:48;8;6;05.12.2021 13:23;05.12.2021 13:25;82
489;489;489;557;8011;40;1338;feed part from magazin;200;12.05.2021;13:26:44;12.05.2021;13:26:47;6;63;05.12.2021 13:26;05.12.2021 13:26;82
490;490;490;558;8011;50;1338;pressing for time in seconds;110;12.05.2021;13:27:02;12.05.2021;13:27:04;7;14;05.12.2021 13:27;05.12.2021 13:27;82
491;491;491;559;8011;60;1338;store a part from stopper 2;211;12.05.2021;13:28:57;12.05.2021;13:29:08;5;1126;05.12.2021 13:28;05.12.2021 13:29;82
492;492;496;554;8011;10;1338;release a defined part on stopper 1;212;12.05.2021;13:17:44;12.05.2021;13:17:56;5;0;05.12.2021 13:17;05.12.2021 13:17;83
493;493;497;555;8011;20;1338;feed part from magazin;200;12.05.2021;13:18:23;12.05.2021;13:18:25;11;27;05.12.2021 13:18;05.12.2021 13:18;83
494;494;492;411;8011;30;1338;assemble a PCB with fuse left and right ;304;12.05.2021;13:26:17;12.05.2021;13:28:10;8;6;05.12.2021 13:26;05.12.2021 13:28;83
495;495;493;412;8011;40;1338;feed part from magazin;200;12.05.2021;13:29:02;12.05.2021;13:29:05;6;63;05.12.2021 13:29;05.12.2021 13:29;83
496;496;494;413;8011;50;1338;pressing for time in seconds;110;12.05.2021;13:29:18;12.05.2021;13:29:20;7;14;05.12.2021 13:29;05.12.2021 13:29;83
497;497;495;414;8011;60;1338;store a part from stopper 2;211;12.05.2021;13:30:44;12.05.2021;13:30:57;5;1126;05.12.2021 13:30;05.12.2021 13:30;83
498;498;498;409;8011;10;1338;release a defined part on stopper 1;212;12.05.2021;13:18:22;12.05.2021;13:18:36;5;0;05.12.2021 13:18;05.12.2021 13:18;84
499;499;499;410;8011;20;1338;feed part from magazin;200;12.05.2021;13:19:02;12.05.2021;13:19:05;11;27;05.12.2021 13:19;05.12.2021 13:19;84
500;500;500;417;8011;30;1338;assemble a PCB with fuse left and right ;304;12.05.2021;13:29:51;12.05.2021;13:31:43;8;6;05.12.2021 13:29;05.12.2021 13:31;84
501;501;501;418;8011;40;1338;feed part from magazin;200;12.05.2021;13:32:34;12.05.2021;13:32:37;6;63;05.12.2021 13:32;05.12.2021 13:32;84
502;502;502;419;8011;50;1338;pressing for time in seconds;110;12.05.2021;13:32:59;12.05.2021;13:33:01;7;14;05.12.2021 13:32;05.12.2021 13:33;84
503;503;503;420;8011;60;1338;store a part from stopper 2;211;12.05.2021;13:34:36;12.05.2021;13:34:49;5;1126;05.12.2021 13:34;05.12.2021 13:34;84
504;504;504;415;8011;10;1338;release a defined part on stopper 1;212;12.05.2021;13:18:47;12.05.2021;13:19:00;5;0;05.12.2021 13:18;05.12.2021 13:19;85
505;505;505;416;8011;20;1338;feed part from magazin;200;12.05.2021;13:19:27;12.05.2021;13:19:29;11;27;05.12.2021 13:19;05.12.2021 13:19;85
